year,stocks,bonds,bills,inflation
1928,0.438112,0.008355,0.0308,-0.011561
1929,-0.082979,0.042038,0.0316,0.005848
1930,-0.251236,0.045409,0.0455,-0.063954
1931,-0.438375,-0.025589,0.0231,-0.093168
1932,-0.086424,0.087903,0.0107,-0.10274
1933,0.499822,0.018553,0.0096,0.007634
1934,-0.011886,0.079634,0.002783,0.015152
1935,0.467404,0.04472,0.001675,0.029851
1936,0.319434,0.050179,0.001725,0.014493
1937,-0.353367,0.013791,0.002758,0.028571
1938,0.292827,0.042132,0.00065,-0.027778
1939,-0.010976,0.044123,0.000458,0.0
1940,-0.106729,0.054025,0.000358,0.007143
1941,-0.127715,-0.020222,0.001292,0.099291
1942,0.191738,0.022949,0.003425,0.090323
1943,0.250613,0.0249,0.0038,0.029586
1944,0.190307,0.025776,0.0038,0.022988
1945,0.358211,0.038044,0.0038,0.022472
1946,-0.084291,0.031284,0.0038,0.181319
1947,0.052,0.009197,0.006008,0.088372
1948,0.057046,0.01951,0.01045,0.029914
1949,0.183032,0.046635,0.01115,-0.020747
1950,0.308055,0.004296,0.012033,0.059322
1951,0.236785,-0.002953,0.015175,0.06
1952,0.18151,0.02268,0.017225,0.007547
1953,-0.012082,0.041438,0.018908,0.007491
1954,0.525633,0.032898,0.009375,-0.007435
1955,0.325973,-0.013364,0.017243,0.003745
1956,0.074395,-0.022558,0.026214,0.029851
1957,-0.104574,0.06797,0.032246,0.028986
1958,0.4372,-0.02099,0.017665,0.017606
1959,0.120565,-0.026466,0.03386,0.017301
1960,0.003365,0.116395,0.02873,0.013605
1961,0.266377,0.020609,0.023525,0.006711
1962,-0.088115,0.056935,0.027724,0.013333
1963,0.226119,0.016842,0.03156,0.016447
1964,0.164155,0.037281,0.035457,0.009709
1965,0.123992,0.007189,0.039491,0.019231
1966,-0.09971,0.029079,0.048557,0.034591
1967,0.23803,-0.015806,0.042935,0.030395
1968,0.108149,0.032746,0.053376,0.047198
1969,-0.082414,-0.05014,0.066685,0.061972
1970,0.035611,0.167547,0.06391,0.055703
1971,0.142212,0.097869,0.043343,0.032663
1972,0.187554,0.028184,0.040618,0.034063
1973,-0.14308,0.036587,0.070354,0.087059
1974,-0.259018,0.019886,0.078458,0.123377
1975,0.369951,0.036053,0.057864,0.069364
1976,0.23831,0.159846,0.049766,0.048649
1977,-0.069797,0.0129,0.05261,0.06701
1978,0.065093,-0.007776,0.071783,0.090177
1979,0.185195,0.006707,0.100543,0.132939
1980,0.317352,-0.029897,0.113919,0.125163
1981,-0.047024,0.081992,0.140362,0.089224
1982,0.204191,0.328145,0.1109,0.038298
1983,0.223372,0.032002,0.0895,0.03791
1984,0.061461,0.137334,0.0992,0.039487
1985,0.312351,0.257125,0.0772,0.037987
1986,0.184946,0.242842,0.0615,0.010979
1987,0.058127,-0.049605,0.0596,0.044344
1988,0.165372,0.082236,0.0689,0.044194
1989,0.314752,0.176936,0.0839,0.046473
1990,-0.030645,0.062354,0.0775,0.061063
1991,0.302348,0.150045,0.0554,0.030643
1992,0.074937,0.093616,0.0351,0.029006
1993,0.099671,0.14211,0.0307,0.027484
1994,0.013259,-0.080367,0.0437,0.026749
1995,0.371952,0.234808,0.0566,0.025384
1996,0.22681,0.014286,0.0515,0.033225
1997,0.331037,0.099391,0.052,0.017024
1998,0.28338,0.149214,0.0491,0.016119
1999,0.208854,-0.082542,0.0478,0.026846
2000,-0.090318,0.166553,0.06,0.033868
2001,-0.118498,0.055722,0.0348,0.015517
2002,-0.21966,0.151164,0.0164,0.023769
2003,0.283558,0.003753,0.0103,0.018795
2004,0.107428,0.044907,0.014,0.032556
2005,0.048345,0.028675,0.0322,0.034157
2006,0.156126,0.01961,0.0485,0.025406
2007,0.054847,0.102099,0.0448,0.040813
2008,-0.365523,0.201013,0.014,0.000914
2009,0.259352,-0.111167,0.0015,0.027213
2010,0.148211,0.084629,0.0014,0.014957
2011,0.020984,0.160353,0.0005,0.029624
2012,0.158906,0.029716,0.0009,0.01741
2013,0.321451,-0.091046,0.0006,0.015017
2014,0.135244,0.107462,0.0003,0.007565
2015,0.013789,0.012843,0.0005,0.007295
2016,0.117731,0.006906,0.0032,0.020746
2017,0.216055,0.028017,0.0095,0.021091
2018,-0.042269,-0.000167,0.0197,0.019102
2019,0.312117,0.096356,0.0211,0.022851
2020,0.180232,0.113319,0.0036,0.01362
2021,0.284689,-0.04416,0.0004,0.070364
2022,-0.180375,-0.178282,0.0209,0.064544
2023,0.260607,0.0388,0.0528,0.033521
2024,0.248786,-0.016372,0.0518,0.028881
2025,0.177237,0.077955,0.0421,0.027351
